,Renamed,Ozone,Solar.R,Wind,Month,Day,Year,Temp,Weather
0,1,41.0,190.0,7.4,5,1,2010,67,S
1,2,36.0,118.0,8.0,5,2,2010,72,C
2,3,12.0,149.0,12.6,5,3,2010,74,PS
3,4,18.0,313.0,11.5,5,4,2010,62,S
4,5,41.583333333333336,238.0,14.3,5,5,2010,56,S
5,6,28.0,238.0,14.9,5,6,2010,66,C
6,7,23.0,299.0,8.6,5,7,2010,65,PS
7,8,19.0,99.0,13.8,5,8,2010,59,C
8,9,8.0,19.0,20.1,5,9,2010,61,PS
9,10,41.583333333333336,194.0,8.6,5,10,2010,69,S
10,11,7.0,238.0,6.9,5,11,2010,74,C
11,12,16.0,256.0,9.7,5,12,2010,69,PS
12,13,11.0,290.0,9.2,5,13,2010,66,S
13,14,14.0,274.0,10.9,5,14,2010,68,S
14,15,18.0,65.0,13.2,5,15,2010,58,C
15,16,14.0,334.0,11.5,5,16,2010,64,S
16,17,34.0,307.0,12.0,5,17,2010,66,S
17,18,6.0,78.0,18.4,5,18,2010,57,C
18,19,30.0,322.0,11.5,5,19,2010,68,PS
19,20,11.0,44.0,9.7,5,20,2010,62,S
20,21,1.0,8.0,9.7,5,21,2010,59,S
21,22,11.0,320.0,16.6,5,22,2010,73,C
22,23,4.0,25.0,9.7,5,23,2010,61,PS
23,24,32.0,92.0,12.0,May,24,2010,61,C
24,25,41.583333333333336,66.0,16.6,5,25,2010,57,PS
25,26,41.583333333333336,266.0,14.9,5,26,2010,58,C
26,27,41.583333333333336,238.0,8.0,5,27,2010,57,PS
27,28,23.0,13.0,12.0,5,28,2010,67,S
28,29,45.0,252.0,14.9,5,29,2010,81,S
29,30,115.0,223.0,5.7,5,30,2010,79,C
30,31,37.0,279.0,7.4,5,31,2010,76,PS
31,32,41.583333333333336,286.0,8.6,6,1,2010,78,S
32,33,41.583333333333336,287.0,9.7,6,2,2010,74,C
33,34,41.583333333333336,242.0,16.1,6,3,2010,67,PS
34,35,41.583333333333336,186.0,9.2,6,4,2010,84,C
35,36,41.583333333333336,220.0,8.6,6,5,2010,85,PS
36,37,41.583333333333336,264.0,14.3,6,6,2010,79,C
37,38,29.0,127.0,9.7,6,7,2010,82,PS
38,39,41.583333333333336,273.0,6.9,6,8,2010,87,S
39,40,71.0,291.0,13.8,6,9,2010,90,S
40,41,39.0,323.0,11.5,6,10,2010,87,S
41,42,41.583333333333336,259.0,10.9,6,11,2010,93,C
42,43,41.583333333333336,250.0,9.2,6,12,2010,92,PS
43,44,23.0,148.0,8.0,6,13,2010,82,S
44,45,41.583333333333336,332.0,13.8,6,14,2010,80,S
45,46,41.583333333333336,322.0,11.5,6,15,2010,79,C
46,47,21.0,191.0,14.9,6,16,2010,77,PS
47,48,37.0,284.0,20.7,6,17,2010,72,C
48,49,20.0,37.0,9.2,6,18,2010,65,PS
49,50,12.0,120.0,11.5,6,19,2010,73,S
